title,release_date,rating,director,writer,genres,runtime,original_language,budget,revenue
,02/10/2020 (KR),55,Richard Kim,,Dram,1h 25m,Korece,-,-
,22/06/2012 (US),57,Timur Bekmambetov,,"Aksiyon,Fantastik,Korku",1h 45m,İngilizce,"$69,000,000.00","$116,500,000.00"
17 Yeniden,17/04/2009 (US),63,Burr Steers,Jason Filardi,"Komedi,Fantastik,Dram,Romantik",1h 42m,İngilizce,"$20,000,000.00","$136,300,000.00"
Goosebumps 2: Lanetli Cadılar Bayramı,19/10/2018 (GB),61,Ari Sandel,,"Komedi,Fantastik,Korku",1h 30m,İngilizce,"$35,000,000.00","$93,300,000.00"
While We Sleep,01/10/2021 (US),51,Andrzej Sekula,Rich Ronat,Korku,1h 32m,İngilizce,-,-
Sniper: The White Raven,24/08/2022 (UA),76,Marian Bushan,Marian Bushan,"Savaş,Aksiyon,Dram",2h,Ukraynaca,"$1,000,000.00",$881.00
Canavar Ev,30/06/2006 (US),67,Gil Kenan,,"Animasyon,Komedi,Aile,Fantastik",1h 30m,İngilizce,"$75,000,000.00","$140,175,006.00"
Ölüm Alfabesi: Kötülüğün Başlangıcı,21/10/2016 (US),61,Mike Flanagan,Mike Flanagan,Korku,1h 39m,İngilizce,"$9,000,000.00","$81,700,000.00"
Dracula: Başlangıç,03/10/2014 (TR),64,Gary Shore,Burk Sharpless,"Korku,Aksiyon,Fantastik",1h 32m,İngilizce,"$70,000,000.00","$217,124,280.00"
Radical,03/11/2023 (US),85,Christopher Zalla,,Dram,2h 7m,İngilizce,"$10,000,000.00","$21,066,351.00"
,29/07/2011 (US),58,Raja Gosnell,,"Animasyon,Aile,Macera,Komedi,Fantastik",1h 43m,İngilizce,"$110,000,000.00","$563,749,323.00"
,21/04/2006 (TR),75,Paul McGuigan,,"Dram,Gerilim,Suç,Gizem",1h 50m,İngilizce,"$27,000,000.00","$56,300,000.00"
28 Hafta Sonra,26/04/2007 (GB),66,Juan Carlos Fresnadillo,,"Korku,Gerilim,Bilim-Kurgu",1h 40m,İngilizce,"$15,000,000.00","$65,100,000.00"
No Manches Frida 2,11/04/2019 (MX),80,Nacho G. Velilla,David S. Olivas,Komedi,1h 42m,İspanyolca; Kastilyaca,"$5,000,000.00","$26,500,000.00"
Afacan Köpek Beethoven,03/04/1992 (US),58,Brian Levant,John Hughes,"Aile,Komedi",1h 27m,İngilizce,-,"$147,214,049.00"
Yedi Samuray,26/04/1954 (JP),85,Akira Kurosawa,,"Aksiyon,Dram",3h 27m,Japonca,"$2,000,000.00","$346,300.00"
Ölümcül Takip,29/05/2015 (US),57,James McTeigue,,"Aksiyon,Suç,Gizem,Gerilim",1h 36m,İngilizce,"$20,000,000.00",-
Jack ve Jill,11/11/2011 (US),44,Dennis Dugan,,Komedi,1h 31m,İngilizce,"$79,000,000.00","$149,700,000.00"
Richard the Stork and the Mystery of the Great Jewel,13/10/2023 (TR),68,Mette Tange,Reza Memari,"Animasyon,Macera,Komedi,Aile",1h 24m,İngilizce,-,"$6,500,000.00"
,23/06/2000 (US),68,Peter Lord,,"Animasyon,Komedi,Aile",1h 24m,İngilizce,"$45,000,000.00","$224,834,564.00"
Baba,17/09/2021 (TR),81,Florian Zeller,,Dram,1h 36m,İngilizce,"$6,000,000.00","$21,029,340.00"
Shocker,27/10/1989 (US),56,Wes Craven,Wes Craven,"Korku,Gerilim,Fantastik",1h 51m,İngilizce,"$5,000,000.00","$16,554,699.00"
,16/09/2022 (US),77,Gina Prince-Bythewood,,"Aksiyon,Dram,Tarih",2h 15m,İngilizce,"$50,000,000.00","$97,300,000.00"
Paramparça Aşklar Köpekler,16/06/2000 (MX),76,Alejandro González Iñárritu,Guillermo Arriaga,"Dram,Gerilim",2h 34m,İspanyolca; Kastilyaca,"$2,000,000.00","$20,908,467.00"
Cesur Civciv,04/11/2005 (US),59,Mark Dindal,,"Animasyon,Aile,Komedi",1h 21m,İngilizce,"$150,000,000.00","$314,400,000.00"
Ölümcül Darbe 3,01/11/1985 (US),62,Michael Winner,Don Jakoby,"Aksiyon,Suç,Dram",1h 30m,İngilizce,"$9,000,000.00","$16,116,878.00"
,17/03/1978 (DE),46,Jesús Franco,,"Dram,Aksiyon,Suç,Korku",1h 15m,Almanca,-,-
My Grandpa is an Alien,21/03/2019 (HR),67,Dražen Žarković,Pavlica Bajšić,"Macera,Aile,Bilim-Kurgu",1h 19m,Hırvatça,-,-
Rüzgarlı Vadi,11/03/1984 (JP),79,Hayao Miyazaki,,"Macera,Animasyon,Fantastik",1h 57m,Japonca,"$1,000,000.00","$3,301,446.00"
Kayıp Balık Dori,17/06/2016 (TR),70,Andrew Stanton,,"Macera,Animasyon,Komedi,Aile",1h 37m,İngilizce,"$200,000,000.00","$1,028,600,000.00"
Kabus Gecesi 1: Sonsuz Dehşet,30/08/2002 (TR),65,Victor Salva,Victor Salva,"Korku,Gerilim,Gizem,Dram",1h 30m,İngilizce,"$10,000,000.00","$59,217,789.00"
Kuralsızlar,18/05/2022 (KR),72,Lee Sang-yong,Kim Min-sung,"Aksiyon,Suç,Komedi,Gerilim",1h 46m,Korece,"$8,100,000.00","$101,166,707.00"
Geleceğe Dönüş III,24/08/1990 (TR),75,Robert Zemeckis,,"Macera,Komedi,Bilim-Kurgu",1h 59m,İngilizce,"$40,000,000.00","$244,527,583.00"
Adaletsiz,03/09/2018 (TR),66,S. Craig Zahler,,"Suç,Aksiyon,Gerilim",2h 39m,İngilizce,"$15,000,000.00","$660,132.00"
Let It Be,13/05/1970 (US),76,Michael Lindsay-Hogg,,"Belgesel,Müzik",1h 21m,İngilizce,-,-
,01/05/1992 (TR),68,Steven Spielberg,,"Macera,Fantastik,Komedi,Aile",2h 21m,İngilizce,"$70,000,000.00","$300,900,000.00"
,13/07/2001 (US),68,Robert Luketic,,"Komedi,Romantik",1h 36m,İngilizce,"$18,000,000.00","$141,774,679.00"
Ferdinand,22/12/2017 (TR),72,Carlos Saldanha,,"Animasyon,Aile,Macera,Komedi",1h 47m,İngilizce,"$111,000,000.00","$295,038,508.00"
Yapay Zeka,05/10/2001 (TR),70,Steven Spielberg,,"Dram,Bilim-Kurgu,Macera",2h 26m,İngilizce,"$100,000,000.00","$235,926,552.00"
Pembe Panter,18/03/1964 (US),69,Blake Edwards,,"Komedi,Suç",1h 55m,İngilizce,-,"$10,878,107.00"
Canavar,12/08/2022 (TR),67,Baltasar Kormákur,,"Gerilim,Aksiyon,Korku",1h 33m,İngilizce,-,"$56,000,000.00"
The Seven Deadly Sins: Grudge of Edinburgh Part 2,08/08/2023 (TR),71,Bob Shirohata,Rintarou Ikeda,"Aksiyon,Macera,Fantastik,Animasyon",55m,Japonca,-,-
Amerikan Pastası 7: Aşk Kitabı,22/12/2009 (US),53,John Putch,David H. Steinberg,Komedi,1h 33m,İngilizce,"$8,000,000.00","$5,021,219.00"
Uyumsuz,28/03/2014 (TR),69,Neil Burger,,"Aksiyon,Macera,Bilim-Kurgu",2h 19m,İngilizce,"$85,000,000.00","$288,885,818.00"
Aladdin,01/01/2002 (US),61,Masakazu Higuchi,,"Animasyon,Fantastik,Aile,Macera",49m,İngilizce,-,-
Geçmişin Günahları,15/05/2019 (FR),53,Frédéric Petitjean,Frédéric Petitjean,"Gerilim,Aksiyon",1h 31m,İngilizce,"$2,700,000.00",-
Edward Makaseller,07/12/1990 (US),77,Tim Burton,,"Fantastik,Dram,Romantik",1h 45m,İngilizce,"$20,000,000.00","$53,000,000.00"
Kabus Gecesi 4: Reborn,22/09/2022 (GB),55,Timo Vuorensola,Sean-Michael Argo,"Korku,Gerilim,Gizem",1h 28m,İngilizce,"$5,000,000.00","$6,175,213.00"
Akıl Defteri,27/07/2001 (TR),82,Christopher Nolan,,"Gizem,Gerilim",1h 53m,İngilizce,"$9,000,000.00","$40,000,000.00"
Dragon Ball Z the Movie: The World's Strongest,10/03/1990 (JP),65,Daisuke Nishio,,"Aksiyon,Animasyon,Bilim-Kurgu",1h,Japonca,-,"$18,000,000.00"
Gotti,15/06/2018 (US),53,Kevin Connolly,,"Suç,Dram,Tarih,Gerilim",1h 46m,İngilizce,"$10,000,000.00","$4,343,227.00"
S.W.A.T.: Özel Tim,05/12/2003 (TR),62,Clark Johnson,,"Aksiyon,Gerilim,Suç",1h 57m,İngilizce,"$80,000,000.00","$207,700,000.00"
Paprika,21/10/2006 (JP),78,Satoshi Kon,,"Animasyon,Bilim-Kurgu,Gerilim",1h 30m,Japonca,-,"$946,590.00"
13 Hayalet,25/01/2002 (TR),62,Steve Beck,,"Korku,Gerilim",1h 31m,İngilizce,"$42,000,000.00","$68,500,000.00"
,21/09/2010 (US),67,Bradley Raymond,,"Animasyon,Macera,Aile,Fantastik",1h 16m,İngilizce,-,-
Guguk Kuşu,19/11/1975 (US),84,Miloš Forman,,Dram,2h 13m,İngilizce,"$3,000,000.00","$108,981,275.00"
Turkish Delight,22/02/1973 (NL),69,Paul Verhoeven,,"Dram,Romantik",1h 48m,Felemenkçe; Flamanca,-,-
Hayvani,26/01/2024 (TR),65,Sandeep Reddy Vanga,Sandeep Reddy Vanga,"Aksiyon,Suç,Dram",3h 21m,Hintçe,"$13,000,000.00","$108,300,000.00"
Ingeborg Bachmann – Journey into the Desert,19/10/2023 (DE),72,Margarethe von Trotta,Margarethe von Trotta,"Dram,Tarih",1h 50m,Almanca,-,-
Zor Ölüm 5: Ölmek İçin Güzel Bir Gün,14/02/2013 (GB),53,John Moore,,"Aksiyon,Gerilim",1h 38m,İngilizce,"$92,000,000.00","$304,654,182.00"
Masum Sanık Roger Rabbit,21/06/1988 (US),75,Robert Zemeckis,,"Fantastik,Animasyon,Komedi,Suç",1h 44m,İngilizce,"$70,000,000.00","$329,800,000.00"
Gizli Güzellik,16/12/2016 (US),72,David Frankel,Allan Loeb,"Dram,Romantik",1h 37m,İngilizce,"$36,000,000.00","$88,528,280.00"
Dengesiz,21/08/2020 (US),65,Derrick Borte,,"Aksiyon,Gerilim",1h 30m,İngilizce,"$33,000,000.00","$39,238,300.00"
Mother's Job,27/07/2017 (KR),52,Do Bong-san,,"Romantik,Dram",1h 19m,Korece,-,-
Shockwave: Countdown to Disaster,28/12/2019 (US),57,Nick Lyon,Blaine Chiappetta,"Aksiyon,Bilim-Kurgu,Macera,Gerilim",1h 30m,İngilizce,-,-
Bir Zamanlar Askerdik,10/05/2002 (TR),71,Randall Wallace,,"Aksiyon,Tarih,Savaş",2h 18m,İngilizce,"$75,000,000.00","$114,660,784.00"
,24/07/2020 (US),77,Vince Marcello,,"Komedi,Romantik",2h 12m,İngilizce,-,-
,08/06/1984 (TR),71,Joe Dante,Chris Columbus,"Fantastik,Korku,Komedi",1h 46m,İngilizce,"$11,000,000.00","$153,083,102.00"
,23/12/2022 (JP),69,Keiichi Hara,,"Animasyon,Dram,Gizem,Fantastik",1h 56m,Japonca,-,-
Zathura: Bir Uzay Macerası,30/12/2005 (TR),64,Jon Favreau,,"Bilim-Kurgu,Macera,Aile",1h 41m,İngilizce,"$65,000,000.00","$65,079,104.00"
Suikastçılar,04/08/2023 (US),59,Tom DeNucci,Jason James,"Aksiyon,Gerilim",1h 26m,İngilizce,-,-
Fantastik Dörtlü: Gümüş Sörfçü'nün Yükselişi,15/06/2007 (US),56,Tim Story,,"Bilim-Kurgu,Macera,Aksiyon",1h 32m,İngilizce,"$130,000,000.00","$301,913,131.00"
Gökteki Kale,02/08/1986 (JP),80,Hayao Miyazaki,Hayao Miyazaki,"Macera,Fantastik,Animasyon,Aksiyon,Aile,Romantik",2h 5m,Japonca,"$3,000,000.00","$5,228,752.00"
Babam Söz Verdi,22/11/1996 (US),60,Brian Levant,,"Aile,Komedi,Macera",1h 34m,İngilizce,"$60,000,000.00","$129,800,000.00"
Mısır Tanrıları,26/02/2016 (US),57,Alex Proyas,,"Aksiyon,Macera,Fantastik",2h 7m,İngilizce,"$140,000,000.00","$150,680,864.00"
Afacan Dennis,25/06/1993 (US),58,Nick Castle,,"Aile,Komedi",1h 35m,İngilizce,"$35,000,000.00","$117,270,765.00"
,09/01/2004 (TR),57,Richard Donner,,"Aksiyon,Macera,Bilim-Kurgu",1h 56m,İngilizce,"$80,000,000.00","$43,935,763.00"
,29/01/1964 (US),81,Stanley Kubrick,,"Komedi,Savaş",1h 35m,İngilizce,"$1,800,000.00","$9,500,000.00"
Storytelling,08/11/2001 (US),65,Todd Solondz,,"Komedi,Dram",1h 27m,İngilizce,-,"$1,318,945.00"
Pirana,20/08/2010 (US),54,Alexandre Aja,Josh Stolberg,"Komedi,Korku",1h 28m,İngilizce,"$24,000,000.00","$83,188,165.00"
Karanlıklar Ülkesi: Lycanların Yükselişi,27/03/2009 (TR),65,Patrick Tatopoulos,Robert Orr,"Fantastik,Aksiyon,Gerilim",1h 32m,İngilizce,"$35,000,000.00","$92,158,961.00"
Super 8,17/06/2011 (TR),68,J.J. Abrams,J.J. Abrams,"Gerilim,Bilim-Kurgu,Gizem",1h 52m,İngilizce,"$50,000,000.00","$260,100,000.00"
Büyük Budapeşte Oteli,18/04/2014 (TR),80,Wes Anderson,,"Komedi,Dram",1h 40m,İngilizce,"$30,000,000.00","$174,600,318.00"
,09/03/2007 (US),76,Michael O. Sajbel,,"Romantik,Dram,Aile",1h 54m,İngilizce,-,"$3,438,735.00"
Örnek Aile,16/04/2010 (US),62,Derrick Borte,Derrick Borte,"Komedi,Dram",1h 36m,İngilizce,"$10,000,000.00","$7,022,728.00"
Turbo,13/09/2013 (TR),62,David Soren,,"Animasyon,Aile",1h 52m,İngilizce,"$135,000,000.00","$282,570,682.00"
İnfazcı,24/09/2004 (TR),63,Jonathan Hensleigh,Jonathan Hensleigh,"Aksiyon,Suç,Dram",2h 4m,İngilizce,"$33,000,000.00","$54,700,105.00"
Lazareth,10/05/2024 (US),56,Alec Tibaldi,Alec Tibaldi,Gerilim,1h 26m,İngilizce,-,-
Batı Vahşi Hikâyeleri,09/11/2018 (US),71,Joel Coen,,"Vahşi Batı,Komedi,Dram",2h 13m,İngilizce,-,-
Kidnapped,16/11/2023 (DE),75,Marco Bellocchio,,"Dram,Tarih",2h 14m,İtalyanca,"$14,100,000.00","$4,077,111.00"
,05/08/2022 (KR),60,Jung Byung-gil,,"Aksiyon,Gerilim,Suç",2h 12m,Korece,-,-
Kör Nokta,20/11/2009 (US),77,John Lee Hancock,John Lee Hancock,Dram,2h 9m,İngilizce,"$29,000,000.00","$309,200,000.00"
Suikastçı,15/09/2017 (US),64,Michael Cuesta,,"Aksiyon,Gerilim",1h 51m,İngilizce,"$33,000,000.00","$67,200,000.00"
,11/04/2012 (NL),52,Tom Six,Tom Six,Korku,1h 30m,İngilizce,"$2,000,000.00","$252,207.00"
,21/05/2010 (US),55,Jorma Taccone,Jorma Taccone,"Aksiyon,Komedi",1h 30m,İngilizce,"$10,000,000.00","$9,322,895.00"
Zafere Hücum,20/09/2013 (TR),77,Ron Howard,Peter Morgan,"Dram,Aksiyon",2h 3m,İngilizce,"$38,000,000.00","$90,200,000.00"
Umudunu Kaybetme,02/03/2007 (TR),79,Gabriele Muccino,,Dram,1h 57m,İngilizce,"$55,000,000.00","$307,077,295.00"
Katili Yakalamak,25/08/2023 (TR),70,Damián Szifron,Damián Szifron,Gerilim,1h 59m,İngilizce,-,"$200,221.00"
Yıldızlara Doğru,20/09/2019 (TR),61,James Gray,,"Bilim-Kurgu,Dram",2h 3m,İngilizce,"$87,500,000.00","$127,461,872.00"
Ufaklık,22/11/1994 (US),52,Ivan Reitman,,"Komedi,Bilim-Kurgu",1h 49m,İngilizce,"$60,000,000.00","$108,400,000.00"
Babasının Oğlu,15/06/2012 (US),58,Sean Anders,David Caspe,"Komedi,Dram",1h 56m,İngilizce,"$70,000,000.00","$58,100,000.00"
,23/12/2009 (US),56,Betty Thomas,Jon Vitti,"Komedi,Aile,Animasyon,Fantastik,Müzik",1h 28m,İngilizce,"$75,000,000.00","$443,140,005.00"
Gasoline Alley,25/02/2022 (US),51,Edward Drake,Edward Drake,"Aksiyon,Gerilim,Suç,Gizem",1h 37m,İngilizce,-,-
Aşka Yolculuk,26/02/2010 (IE),69,Anand Tucker,Harry Elfont,"Romantik,Komedi",1h 40m,İngilizce,"$19,000,000.00","$32,686,500.00"
Röntgenciler,10/09/2021 (TR),66,Michael Mohan,Michael Mohan,Gerilim,1h 57m,İngilizce,-,-
Şeytan'ın Avukatı,30/01/1998 (TR),75,Taylor Hackford,,"Dram,Gizem,Gerilim,Korku",2h 24m,İngilizce,"$57,000,000.00","$153,000,000.00"
Sosyete Polisi,05/12/1984 (US),72,Martin Brest,,"Aksiyon,Komedi,Suç",1h 45m,İngilizce,"$14,000,000.00","$316,360,478.00"
Düello,25/12/1971 (TR),74,Steven Spielberg,,"Aksiyon,Gerilim,TV film",1h 29m,İngilizce,"$450,000.00",-
Clifford Büyük Kırmızı Köpek,10/11/2021 (US),72,Walt Becker,,"Aile,Macera,Komedi,Fantastik,Animasyon",1h 36m,İngilizce,"$64,000,000.00","$107,347,356.00"
,08/10/2010 (US),65,Steven R. Monroe,,"Gerilim,Suç,Korku",1h 43m,İngilizce,"$2,000,000.00","$572,809.00"
,16/08/2018 (US),76,Susan Johnson,,"Komedi,Romantik",1h 40m,İngilizce,-,-
Hayatta Kalan,13/09/2021 (CA),70,Barry Levinson,,"Tarih,Aksiyon,Dram",2h 9m,İngilizce,-,-
Aşk ve Canavarlar,14/04/2021 (TR),73,Michael Matthews,,"Komedi,Aksiyon,Macera,Bilim-Kurgu",1h 50m,İngilizce,"$30,000,000.00","$1,122,066.00"
Büyük Dövüş,09/09/2011 (US),78,Gavin O'Connor,,"Dram,Aksiyon",2h 20m,İngilizce,"$25,000,000.00","$23,300,000.00"
Mavi göle dönüş,02/08/1991 (US),62,William A. Graham,Leslie Stevens,"Macera,Dram",1h 38m,İngilizce,"$11,000,000.00","$2,807,854.00"
Mavi Göl: Uyanış,16/06/2012 (US),65,Mikael Salomon,,"Dram,Macera,Romantik,TV film",1h 25m,İngilizce,-,-
Harry Potter 20. Yıldönümü: Hogwarts'a Dönüş,01/01/2022 (US),73,Casey Patterson,,Belgesel,1h 43m,İngilizce,-,-
Cennete Yolculuk,16/04/2014 (US),67,Randall Wallace,,Dram,1h 39m,İngilizce,"$12,000,000.00","$101,300,000.00"
Güneşin Gözyaşları,14/11/2003 (TR),69,Antoine Fuqua,,"Savaş,Aksiyon,Dram",2h 1m,İngilizce,"$75,000,000.00","$86,500,000.00"
Yanlış Kapı,09/10/2015 (US),54,Eli Roth,,"Gerilim,Korku",1h 39m,İngilizce,"$10,000,000.00","$6,341,684.00"
Siyah Giyen Adamlar: Global Tehdit,14/06/2019 (US),59,F. Gary Gray,,"Komedi,Bilim-Kurgu,Aksiyon",1h 55m,İngilizce,"$110,000,000.00","$253,890,701.00"
,27/06/1997 (US),70,John Woo,Mike Werb,"Aksiyon,Suç,Bilim-Kurgu",2h 18m,İngilizce,"$80,000,000.00","$245,700,000.00"
Ghost Project,05/12/2023 (US),62,Federico Finkielstain,Santiago Fernández Calvete,"Korku,Bilim-Kurgu",1h 17m,İngilizce,-,-
,13/08/2013 (AU),61,Anne Fontaine,,Dram,1h 40m,İngilizce,"$16,000,000.00","$1,600,000.00"
,01/02/2008 (TR),73,Ben Affleck,,"Suç,Dram,Gizem",1h 53m,İngilizce,"$19,000,000.00","$34,600,000.00"
Yakut Kırmızı,14/03/2013 (DE),70,Felix Fuchssteiner,,"Fantastik,Dram,Romantik",2h 2m,Almanca,-,"$5,524,381.00"
"Ben, Kendim ve Sevgilim",13/10/2000 (TR),66,Bobby Farrelly,,Komedi,1h 56m,İngilizce,"$51,000,000.00","$149,270,999.00"
Emmanuelle 7,19/09/1993 (FR),49,Francis Leroi,Francis Leroi,"Dram,Bilim-Kurgu",1h 30m,Fransızca,-,-
Karateci Çocuk 2,18/06/1986 (US),63,John G. Avildsen,Robert Mark Kamen,"Macera,Dram,Aksiyon,Romantik,Aile",1h 53m,İngilizce,"$13,000,000.00","$115,103,979.00"
Avanak Ajan: Cazibesi Yeter,08/06/1999 (US),63,Jay Roach,,"Macera,Komedi,Suç,Bilim-Kurgu",1h 35m,İngilizce,"$33,000,000.00","$312,016,928.00"
,12/05/2016 (KR),73,Na Hong-jin,Na Hong-jin,"Korku,Gizem",2h 36m,Korece,"$10,951,000.00","$49,851,770.00"
"Sevgiler, Simon",16/03/2018 (US),80,Greg Berlanti,,"Komedi,Dram,Romantik",1h 50m,İngilizce,"$17,000,000.00","$66,316,289.00"
,29/06/2018 (US),67,Charles Stone III,Jay Longino,Komedi,1h 43m,İngilizce,"$19,000,000.00","$17,700,000.00"
Yeni Bir Başlangıç,04/04/1997 (TR),70,Cameron Crowe,Cameron Crowe,"Komedi,Dram,Romantik",2h 18m,İngilizce,"$50,000,000.00","$273,600,000.00"
,13/10/2023 (TR),60,David Slade,,"Korku,Fantastik,Gerilim",1h 35m,İngilizce,-,-
Bağlanmak Yok,21/01/2011 (US),63,Ivan Reitman,,"Komedi,Romantik",1h 47m,İngilizce,"$25,000,000.00","$149,200,000.00"
Garip Bir Aşk Öyküsü,16/09/2010 (TR),63,Kevin Smith,Kevin Smith,"Komedi,Romantik",1h 42m,İngilizce,"$24,000,000.00","$42,105,111.00"
,22/08/2014 (TR),64,Frank Miller,Frank Miller,"Suç,Aksiyon,Gerilim",1h 42m,İngilizce,"$65,000,000.00","$39,400,000.00"
Ölüm Odası,01/09/2017 (US),49,Dan Bush,Dan Bush,"Korku,Gerilim",1h 31m,İngilizce,"$5,000,000.00","$5,728.00"
Kadavra,30/11/2018 (US),56,Diederik Van Rooijen,Brian Sieve,"Korku,Dram",1h 26m,İngilizce,"$9,500,000.00","$43,000,000.00"
Aloha,29/05/2015 (US),55,Cameron Crowe,Cameron Crowe,"Dram,Komedi,Romantik",1h 45m,İngilizce,"$37,000,000.00","$26,250,020.00"
,02/10/2002 (US),67,Corey Yuen,,"Aksiyon,Suç,Gerilim",1h 32m,İngilizce,"$21,000,000.00","$43,900,000.00"
Licorice Pizza,07/01/2022 (TR),70,Paul Thomas Anderson,Paul Thomas Anderson,"Dram,Komedi,Romantik",2h 13m,İngilizce,"$40,000,000.00","$33,300,000.00"
,27/10/2000 (IT),74,Giuseppe Tornatore,,Dram,1h 49m,İtalyanca,-,"$14,493,284.00"
Alev Almış Bir Genç Kızın Portresi,03/10/2019 (TR),81,Céline Sciamma,,"Dram,Romantik",1h 59m,Fransızca,"$5,740,000.00","$9,923,127.00"
,17/10/2008 (US),64,Sean Anders,,"Komedi,Macera,Romantik",1h 49m,İngilizce,"$19,000,000.00","$18,755,936.00"
Paranormal Activity 2,21/10/2010 (US),58,Tod Williams,,"Korku,Gizem",1h 31m,İngilizce,"$3,000,000.00","$177,512,032.00"
Addams Ailesi,06/12/2019 (TR),66,Conrad Vernon,,"Aile,Animasyon,Komedi,Fantastik",1h 26m,İngilizce,"$40,000,000.00","$204,394,183.00"
,24/06/2011 (TR),69,James Wan,Leigh Whannell,"Korku,Gerilim",1h 43m,İngilizce,"$1,500,000.00","$99,870,886.00"
Kurtlarla Dans,22/03/1991 (TR),78,Kevin Costner,,"Macera,Dram,Vahşi Batı",3h 1m,İngilizce,"$22,000,000.00","$424,208,848.00"
Isadora,27/04/1969 (US),62,Karel Reisz,,"Dram,Tarih,Müzik",2h 11m,İngilizce,-,-
Dragon Ball GT: Bir Kahramanın Mirası,26/03/1997 (JP),68,Osamu Kasai,Neil Bligh,"Macera,Aksiyon,Animasyon,Bilim-Kurgu",45m,Japonca,-,-
Sokak Dansı 3,06/08/2010 (US),68,Jon M. Chu,Amy Andelson,"Dram,Romantik",1h 47m,İngilizce,"$30,000,000.00","$159,291,809.00"
,13/04/1990 (TR),83,Peter Weir,Tom Schulman,Dram,2h 8m,İngilizce,"$16,400,000.00","$235,900,000.00"
Küçük Tilkiler,29/08/1941 (US),75,William Wyler,,"Dram,Romantik,Tarih",1h 57m,İngilizce,-,-
Sıkı Aynasızlar,14/02/2007 (GB),76,Edgar Wright,,"Suç,Aksiyon,Komedi",2h 1m,İngilizce,"$12,000,000.00","$80,600,000.00"
Cruising,15/02/1980 (US),66,William Friedkin,William Friedkin,"Suç,Gizem,Gerilim",1h 42m,İngilizce,"$11,000,000.00","$19,814,523.00"
Bulut Atlası,15/11/2012 (DE),69,Lilly Wachowski,,"Dram,Bilim-Kurgu",2h 52m,İngilizce,"$102,000,000.00","$130,482,868.00"
Sensiz Olmaz,22/06/2012 (ES),74,Fernando González Molina,,"Dram,Romantik",2h 10m,İspanyolca; Kastilyaca,-,"$24,016,152.00"
Affedilmeyen,04/12/1992 (TR),79,Clint Eastwood,David Webb Peoples,Vahşi Batı,2h 10m,İngilizce,"$14,400,000.00","$159,157,447.00"
Rüyalar Kralı Joseph,07/11/2000 (US),68,Robert C. Ramirez,,"Aile,Animasyon,Fantastik",1h 14m,İngilizce,-,-
Kışkırtma,28/07/2000 (TR),56,Tinto Brass,Tinto Brass,"Komedi,Dram,Romantik",1h 31m,İtalyanca,-,-
,21/02/1986 (US),61,Adrian Lyne,,"Romantik,Dram",1h 57m,İngilizce,"$17,000,000.00","$6,735,922.00"
,06/08/2004 (US),67,Garry Marshall,,"Komedi,Dram,Aile,Romantik",1h 53m,İngilizce,"$40,000,000.00","$134,734,481.00"
Zohan'a Bulaşma,06/06/2008 (US),57,Dennis Dugan,,"Komedi,Aksiyon",1h 52m,İngilizce,"$90,000,000.00","$204,313,400.00"
,29/10/2004 (TR),63,Antoine Fuqua,David Franzoni,"Macera,Savaş,Tarih,Aksiyon,Dram",2h 6m,İngilizce,"$120,000,000.00","$203,600,000.00"
Barbie ve Kristal Şato,09/09/2008 (US),74,Gino Nichele,,"Animasyon,Aile",1h 18m,İngilizce,-,-
Henry ve June,03/05/1991 (TR),61,Philip Kaufman,,Romantik,2h 16m,İngilizce,-,"$11,567,449.00"
,29/11/2002 (TR),72,Gaspar Noé,Gaspar Noé,"Dram,Gerilim,Suç",1h 39m,Fransızca,"$3,500,000.00","$6,500,000.00"
King Kong vs. Godzilla,26/06/1963 (US),66,Ishirō Honda,Paul Mason,"Aksiyon,Bilim-Kurgu,Komedi",1h 36m,İngilizce,"$12,000.00","$2,700,000.00"
Yedinci Hayat,01/09/2017 (TR),72,Tommy Wirkola,Max Botkin,"Bilim-Kurgu,Gerilim,Dram,Gizem,Aksiyon",2h 3m,İngilizce,"$20,000,000.00","$27,975,429.00"
Mamma Mia!: Yeniden Başlıyoruz,20/07/2018 (TR),71,Ol Parker,Ol Parker,"Komedi,Romantik",1h 53m,İngilizce,"$75,000,000.00","$395,100,000.00"
,28/06/1978 (US),63,Sam Peckinpah,,"Aksiyon,Komedi,Dram",1h 50m,İngilizce,"$12,000,000.00","$45,000,000.00"
Katil Avcısı,28/03/2019 (TR),69,Donovan Marsh,,"Aksiyon,Gerilim",2h 2m,İngilizce,"$40,000,000.00","$31,672,678.00"
Bloodshot: Durdurulamaz Güç,13/03/2020 (TR),67,Dave Wilson,,"Aksiyon,Bilim-Kurgu,Macera",1h 49m,İngilizce,"$42,000,000.00","$39,861,118.00"
Cadılar Balosu,06/05/2017 (US),63,Justin G. Dyck,Keith Cooper,"Aile,Fantastik,Bilim-Kurgu",1h 30m,İngilizce,-,-
Karanlıklar Ülkesi: Uyanış,19/01/2012 (US),63,Björn Stein,,"Fantastik,Aksiyon,Korku",1h 28m,İngilizce,"$70,000,000.00","$160,112,671.00"
Tenin Gizemi,06/05/2005 (US),76,Gregg Araki,,Dram,1h 45m,İngilizce,-,"$1,500,000.00"
Güzel Dedektif,22/12/2000 (US),65,Donald Petrie,Caryn Lucas,"Komedi,Suç,Aksiyon",1h 51m,İngilizce,"$45,000,000.00","$212,000,000.00"
